Customer ID,recency,frequency,monetary,recency_score,monetary_score,frequency_score,RFM_SCORE,segment
12346.0,165,11,372.86,2,2,5,25,cant_loose
12347.0,3,2,1323.32,5,4,2,52,potential_loyalists
12348.0,74,1,222.16,2,1,1,21,hibernating
12349.0,43,3,2671.1400000000003,3,5,3,33,need_attention
12351.0,11,1,300.93,5,2,1,51,new_customers
12352.0,11,2,343.79999999999995,5,2,2,52,potential_loyalists
12353.0,44,1,317.75999999999993,3,2,1,31,about_to_sleep
12355.0,203,1,488.21,1,2,1,11,hibernating
12356.0,16,3,3562.2499999999995,4,5,3,43,potential_loyalists
12357.0,24,2,12079.990000000002,4,5,2,42,potential_loyalists
12358.0,11,3,2719.01,5,5,3,53,potential_loyalists
12359.0,61,6,2563.36,3,5,4,34,loyal_customers
12360.0,15,5,1590.83,5,4,4,54,champions
12361.0,98,3,321.35,2,2,3,23,at_Risk
12362.0,374,1,130.0,1,1,1,11,hibernating
12366.0,269,1,500.24,1,2,1,11,hibernating
12368.0,264,1,917.6999999999999,1,3,1,11,hibernating
12369.0,49,3,1791.1499999999999,3,4,3,33,need_attention
12370.0,260,3,774.62,1,3,3,13,at_Risk
12371.0,45,3,2179.42,3,5,3,33,need_attention
12373.0,260,2,763.0500000000001,1,3,2,12,hibernating
12374.0,57,3,2246.29,3,5,3,33,need_attention
12376.0,25,2,503.15000000000003,4,2,2,42,potential_loyalists
12377.0,17,2,1798.2,4,4,2,42,potential_loyalists
12378.0,198,1,1407.7,1,4,1,11,hibernating
12379.0,58,2,767.98,3,3,2,32,about_to_sleep
12380.0,101,7,6951.49,2,5,5,25,cant_loose
12385.0,15,1,1938.3999999999999,5,4,1,51,new_customers
12386.0,2,1,258.9,5,2,1,51,new_customers
12387.0,51,1,143.94,3,1,1,31,about_to_sleep
12388.0,81,2,1120.45,2,4,2,22,hibernating
12389.0,38,3,1433.33,3,4,3,33,need_attention
12391.0,100,5,2312.5299999999997,2,5,4,24,at_Risk
12392.0,227,1,234.75000000000003,1,1,1,11,hibernating
12393.0,18,2,816.8500000000001,4,3,2,42,potential_loyalists
12395.0,7,4,2048.6400000000003,5,4,4,54,champions
12396.0,310,1,931.4300000000001,1,3,1,11,hibernating
12399.0,21,3,853.65,4,3,3,43,potential_loyalists
12400.0,50,1,205.25,3,1,1,31,about_to_sleep
12402.0,28,5,1031.3000000000002,4,4,4,44,loyal_customers
12403.0,157,1,591.6600000000001,2,3,1,21,hibernating
12404.0,318,1,63.24,1,1,1,11,hibernating
12406.0,35,3,2975.0599999999995,4,5,3,43,potential_loyalists
12408.0,21,3,1452.2199999999998,4,4,3,43,potential_loyalists
12409.0,56,4,12346.619999999999,3,5,4,34,loyal_customers
12410.0,138,1,320.38,2,2,1,21,hibernating
12411.0,45,1,346.9,3,2,1,31,about_to_sleep
12412.0,38,3,1370.0500000000002,3,4,3,33,need_attention
